building_type_code,build_age,exclusive_area,floor,dist_to_subway,is_station_area,avg_sale_price,avg_jeonse_deposit,gap_amount,total_tx_count,group_avg_jeonse_rate,jeonse_rate_deviation,risk_label
0,9.0,83.42162966360856,10.326197757390418,609.0,0,2155413333.3333335,1068394387.3517786,1087018945.981555,656,65.88954342413311,-16.321584887868823,1
0,29.0,36.19824561403509,8.824561403508772,2470.0,0,212227272.72727272,149357142.85714287,62870129.87012985,25,65.88954342413311,4.486493047427032,1
0,26.0,81.16631147540984,9.110655737704919,315.0,1,1113781415.9292035,597092232.1428572,516689183.7863463,337,65.83524037135,-12.225777724254542,0
0,20.0,91.8531914893617,11.48936170212766,288.0,1,914000000.0,606783653.8461539,307216346.15384614,72,65.83524037135,0.5524679269162931,0
0,12.0,14.496,9.790909090909091,285.0,1,107272727.27272727,108746666.66666667,-1473939.3939394057,14,65.83524037135,35.53877092808504,2
0,18.0,151.854,5.166666666666667,566.0,0,1991769230.7692308,1261875000.0,729894230.7692308,21,65.88954342413311,-2.535065379874041,0
0,18.0,91.0052909090909,8.493506493506494,271.0,1,1344185185.1851852,741773255.8139535,602411929.3712317,280,65.83524037135,-10.651381481269965,0
0,11.0,17.97320754716981,7.962264150943396,377.0,1,207000000.0,132500000.0,74500000.0,9,65.83524037135,-1.8255785356012098,0
0,23.0,124.86466666666666,10.133333333333333,318.0,1,1812007857.142857,1100937500.0,711070357.1428571,22,65.83524037135,-5.0773636513263085,0
0,9.0,76.33070066334992,8.5787728026534,306.0,1,1979422413.7931035,968081197.1830986,1011341216.6100049,400,65.83524037135,-16.92798386878288,1
0,60.0,28.800597014925373,3.7611940298507465,41.0,1,368090909.09090906,122500000.0,245590909.09090906,29,65.83524037135,-32.555418193034356,2
0,17.0,73.35345512820513,7.756410256410256,185.0,1,888340909.0909091,497704666.6666667,390636242.42424244,119,65.83524037135,-9.808926422125616,0
0,18.0,118.23837016574586,7.060773480662983,437.0,1,1727209876.5432098,1064360619.4690266,662849257.0741832,194,65.83524037135,-4.21212010531675,0
0,13.0,12.15,12.08,235.0,1,113125000.0,113333333.33333333,-208333.33333332837,11,65.83524037135,34.34892169126509,2
0,34.0,68.50742937853107,7.776836158192091,144.0,1,698547169.8113208,364327692.3076923,334219477.5036285,261,65.83524037135,-13.680180834554783,0
0,13.0,22.47983606557377,8.967213114754099,272.0,1,123230769.23076923,127500000.0,-4269230.769230768,15,65.83524037135,37.629179104305436,2
0,30.0,72.95217391304348,3.5652173913043477,3704.0,0,664875000.0,434909090.90909094,229965909.09090906,19,65.88954342413311,-0.4773846109590636,0
0,7.0,78.93509470588235,8.429411764705883,169.0,1,1464450000.0,863131443.298969,601318556.701031,137,65.83524037135,-6.896291052563491,0
0,15.0,25.75688524590164,7.819672131147541,506.0,0,156764705.88235295,155000000.0,1764705.8823529482,21,65.88954342413311,32.98475301113892,2
0,9.0,69.7783439935065,12.354707792207792,511.0,0,1616233727.8106508,734222288.961039,882011438.8496119,785,60.69154543742789,-15.263568262640433,1
0,15.0,75.69182222222223,7.984444444444445,524.0,0,1205392000.0,598023204.4198895,607368795.5801105,306,60.69154543742789,-11.079203193586103,1
0,24.0,82.49244444444444,9.299033816425121,178.0,1,1256104357.798165,611200051.92108,644904305.8770851,1399,68.10651468976125,-19.44813307308911,1
0,18.0,75.06578538102644,20.200622083981337,531.0,0,977820524.0174673,559108422.7642276,418712101.25323963,844,60.69154543742789,-3.5125019390281764,0
0,18.0,244.73666666666668,3.2222222222222223,179.0,1,5875000000.0,3990000000.0,1885000000.0,9,68.10651468976125,-0.1916210727399772,0
0,10.0,24.73793103448276,11.068965517241379,405.0,1,245982142.85714287,199260869.56521738,46721273.29192549,51,68.10651468976125,12.899719035481382,2
0,13.0,16.559019607843137,15.137254901960784,364.0,1,131984848.48484848,128125000.0,3859848.4848484844,41,68.10651468976125,28.969021988002496,2
0,58.0,53.55714285714286,7.923076923076923,300.0,1,407833333.3333333,212545454.54545456,195287878.78787875,57,68.10651468976125,-15.990751417479785,0
0,5.0,18.988,7.162962962962963,124.0,1,257105263.15789473,230322580.6451613,26782682.51273343,69,68.10651468976125,21.476474711632093,2
0,45.0,36.770357142857144,3.892857142857143,348.0,1,159666666.66666666,170000000.0,-10333333.333333343,7,68.10651468976125,38.3653015941636,2
0,15.0,87.37678207739307,7.934826883910387,243.0,1,1564082644.6280992,804200567.6855896,759882076.9425097,350,68.10651468976125,-16.689758008287505,0
0,12.0,15.97,10.852631578947369,340.0,1,160171428.57142857,143375000.0,16796428.571428567,32,68.10651468976125,21.40695302340322,2
0,56.0,84.36531914893617,9.925531914893616,197.0,1,681375000.0,351834210.5263158,329540789.4736842,62,68.10651468976125,-16.470600468324335,0
0,27.0,72.9892695652174,9.330434782608696,329.0,1,1165359430.6049821,553296533.5753176,612062897.0296645,832,68.10651468976125,-20.627898303735144,1
0,25.0,58.920309278350516,5.278350515463917,313.0,1,858448275.862069,445064857.14285713,413383418.7192119,64,68.10651468976125,-16.26124111216393,0
0,25.0,44.34142857142857,1.4285714285714286,307.0,1,166666666.66666666,170666666.66666666,-4000000.0,6,68.10651468976125,34.29348531023875,2
0,21.0,91.7487134502924,10.456140350877194,522.0,0,1255377192.9824562,681458823.5294118,573918369.4530444,108,60.69154543742789,-6.40835251829899,0
0,19.0,76.8484705882353,15.411764705882353,340.0,1,991250000.0,591736842.1052631,399513157.8947369,54,68.10651468976125,-8.41049026552286,0
0,12.0,133.23952592592593,14.644444444444444,116.0,1,1611194444.4444444,1042754237.2881356,568440207.1563088,95,68.10651468976125,-3.3871854440793356,0
0,16.0,105.45221511627906,11.674418604651162,211.0,1,1175155555.5555556,745673164.556962,429482390.99859357,124,68.10651468976125,-4.653369186445779,0
0,33.0,93.05050351288057,7.751756440281031,615.0,0,959943298.9690721,488882281.5533981,471061017.41567403,303,60.69154543742789,-9.76329977141495,0
0,8.0,23.992115384615385,7.605769230769231,170.0,1,287785714.28571427,254161864.40677965,33623849.87893462,73,68.10651468976125,20.2098442502962,2
